split0_test_rmse,split1_test_rmse,split2_test_rmse,mean_test_rmse,std_test_rmse,rank_test_rmse,mean_fit_time,std_fit_time,mean_test_time,std_test_time,params,param_n_epochs,param_lr_all,param_reg_all,param_n_factors
1.7984584649327222,1.796113837226535,1.7998443061192027,1.7981388694261533,0.0015396331826454466,3,0.5449802080790201,0.1116970459844979,0.3236578305562337,0.09079770144392806,"{'n_epochs': 10, 'lr_all': 0.005, 'reg_all': 0.02, 'n_factors': 50}",10,0.005,0.02,50
1.8004030749749305,1.7979641882728221,1.8005361181222341,1.7996344604566623,0.0011823090390823228,4,0.48833998044331867,0.017120093540447353,0.2762014865875244,0.0626482329674553,"{'n_epochs': 10, 'lr_all': 0.005, 'reg_all': 0.02, 'n_factors': 100}",10,0.005,0.02,100
1.7954204771365705,1.792775604043074,1.7966015101602686,1.7949325304466377,0.001599574606691625,1,0.3445770740509033,0.0039075690733229905,0.23187971115112305,0.08519162694153576,"{'n_epochs': 10, 'lr_all': 0.005, 'reg_all': 0.1, 'n_factors': 50}",10,0.005,0.1,50
1.7963641300755604,1.792941618594199,1.7975560177238779,1.7956205887978791,0.001955813565707283,2,0.46557434399922687,0.00486368305640558,0.2654574712117513,0.07473234355213026,"{'n_epochs': 10, 'lr_all': 0.005, 'reg_all': 0.1, 'n_factors': 100}",10,0.005,0.1,100
1.8267759379854083,1.8242809286618964,1.8269483747453148,1.8260017471308732,0.0012188370854822788,9,0.33617138862609863,0.00455406578033661,0.28544163703918457,0.08305360585445477,"{'n_epochs': 10, 'lr_all': 0.01, 'reg_all': 0.02, 'n_factors': 50}",10,0.01,0.02,50
1.8305188614057901,1.8278388593197263,1.8335295265032223,1.8306290824095797,0.002324512099428865,12,0.4637442429860433,0.0065728627366427456,0.2662847836812337,0.07214207746879302,"{'n_epochs': 10, 'lr_all': 0.01, 'reg_all': 0.02, 'n_factors': 100}",10,0.01,0.02,100
1.8150534043720896,1.8132856910286894,1.8169347069855706,1.8150912674621165,0.001489945093749683,6,0.3393573760986328,0.0055036607630287344,0.22615623474121094,0.08059228923908428,"{'n_epochs': 10, 'lr_all': 0.01, 'reg_all': 0.1, 'n_factors': 50}",10,0.01,0.1,50
1.815361952416414,1.812337474269787,1.8179969186081861,1.815232115098129,0.0023122818241978794,7,0.4630565643310547,0.009135534273281143,0.26714086532592773,0.07770262492496523,"{'n_epochs': 10, 'lr_all': 0.01, 'reg_all': 0.1, 'n_factors': 100}",10,0.01,0.1,100
1.8265462813433888,1.8249528767567376,1.8281898811645143,1.8265630130882133,0.0013215544754707563,10,0.6779023011525472,0.005796879739340566,0.2909512519836426,0.08747821596713172,"{'n_epochs': 20, 'lr_all': 0.005, 'reg_all': 0.02, 'n_factors': 50}",20,0.005,0.02,50
1.8297708177529135,1.8292293823907448,1.8315296153311864,1.8301766051582815,0.0009819251359242003,11,0.9060096740722656,0.007690960146109053,0.2638482252756755,0.07025960602642708,"{'n_epochs': 20, 'lr_all': 0.005, 'reg_all': 0.02, 'n_factors': 100}",20,0.005,0.02,100
1.8154526083809919,1.8131564932601527,1.8166349924240364,1.8150813646883937,0.0014441503886957873,5,0.6661245028177897,0.0031900244344002303,0.22615742683410645,0.08384083811899609,"{'n_epochs': 20, 'lr_all': 0.005, 'reg_all': 0.1, 'n_factors': 50}",20,0.005,0.1,50
1.8158911024547348,1.8138199475719314,1.8193439092606578,1.8163516530957746,0.0022785402277702353,8,0.9007088343302408,0.006331591206919926,0.2616763909657796,0.07160390313973514,"{'n_epochs': 20, 'lr_all': 0.005, 'reg_all': 0.1, 'n_factors': 100}",20,0.005,0.1,100
1.9164517094136015,1.9123136744119935,1.9191538546658402,1.915973079497145,0.002812926284609901,16,0.6694341500600179,0.009699357618706807,0.2843497594197591,0.08257951514478565,"{'n_epochs': 20, 'lr_all': 0.01, 'reg_all': 0.02, 'n_factors': 50}",20,0.01,0.02,50
1.883667212775684,1.8892089253804927,1.8907003432795664,1.8878588271452477,0.003025811748359897,15,0.9031112194061279,0.006096395273164578,0.2609891891479492,0.06970115822606855,"{'n_epochs': 20, 'lr_all': 0.01, 'reg_all': 0.02, 'n_factors': 100}",20,0.01,0.02,100
1.8607477880673953,1.8591480796930728,1.8633242143686422,1.8610733607097034,0.0017203727050046937,14,0.740259567896525,0.049539061609989506,0.23999818166097006,0.0918205682501897,"{'n_epochs': 20, 'lr_all': 0.01, 'reg_all': 0.1, 'n_factors': 50}",20,0.01,0.1,50
1.8508105829668826,1.8481144582752829,1.8544824474632127,1.8511358295684595,0.002609873635290368,13,1.046093463897705,0.057372891469086675,0.2839530309041341,0.08246779898408867,"{'n_epochs': 20, 'lr_all': 0.01, 'reg_all': 0.1, 'n_factors': 100}",20,0.01,0.1,100
